domain,company_name,person_company_name,company_key_label,country,city,workforce_total,revenue_annual,funding_total,founded_year,industry,description,fit_reason,company_sources,first_seen,person_name,title,linkedin_url,person_key_label,location,status,person_sources
365finance.co.uk,365 Finance,,reject:excluded-type,United Kingdom,,69,50000000,,2012,,"365 Finance are changing the way small and medium sized business owners obtain funding, with fast and flexible merchant cash advance solutions. Time is important, and clients need quick answers. At 365 Finance, our advances can be approved in as little as 24 hours.   Merchant Cash Advances, also kno",UK SMB cash-advance lender with fast approval process implying self-serve signup; revenue fits band.,eval_base20b,2026-09-05T06:46:32.957951+05:30,,,,,,,
afriex.com,Afriex,Afriex,accept,United States,Oakland,60,2000000,26625000,,,"At Afriex, we’re working to build a payment experience that's simple, delightful and fast. People are the most important part of what we do. From our customers to our team members we're a growing family that believes in redefining traditional banking alternatives and making wealth universally access",US-based consumer payments app; revenue and funding both fall within the qualifying financial range.,eval_base20b;eval_basep;eval_domainp;eval_profilep;eval_proof-ondato;eval_sizep;eval_sizep2;eval_strict20;eval_words20,2026-09-05T06:43:30.175939+05:30,Tope Alabi,Co-Founder,https://linkedin.com/in/temitope-alabi-39619b78,reject:duplicate,"United Kingdom, United Kingdom",verified,eval_proof-ondato
afriex.com,Afriex,Afriex,accept,United States,Oakland,60,2000000,26625000,,,"At Afriex, we’re working to build a payment experience that's simple, delightful and fast. People are the most important part of what we do. From our customers to our team members we're a growing family that believes in redefining traditional banking alternatives and making wealth universally access",US-based consumer payments app; revenue and funding both fall within the qualifying financial range.,eval_base20b;eval_basep;eval_domainp;eval_profilep;eval_proof-ondato;eval_sizep;eval_sizep2;eval_strict20;eval_words20,2026-09-05T06:43:30.175939+05:30,Tope Alabi,Co-Founder,https://linkedin.com/in/topealabi,accept,"United Kingdom, United Kingdom",verified,eval_basep;eval_domainp
aixtrade.com,AiX (Acq. Blockchain.com),,reject:unreachable,United Kingdom,London,2,4000000,,,,"After years in development, artificial intelligence has become a reality. AiX is a unique AI trading broker that embraces this reality. Our technology is set to revolutionize the way traders do business, in cryptocurrency and across all financial markets.  Underpinned by award-winning cognitive reas",UK AI trading broker for crypto and financial markets; consumer trading platform; revenue fits required band.,eval_angles20;eval_or20,2026-09-05T07:43:14.371898+05:30,,,,,,,
algbra.com,Algbra,,accept,United Kingdom,London,25,4000000,,,,"Algbra has set out to revolutionise how communities manage their money. We are pioneering a movement. One in which we use first-class technology and a community first approach to provide ethical, sustainable and inclusive financial services.  As a digital ethical finance platform and values-based ec","UK ethical finance platform for communities, revenue in range, no excluded traits.",eval_angles20;eval_base20b;eval_or20;eval_strict20;eval_words20,2026-09-05T07:43:14.371898+05:30,,,,,,,
alt21.com,Alt21,,,United Kingdom,London,53,15000000,,2017,,"ALT21 is a European-based, UK-headquartered alternative banking platform supporting businesses that operate across borders.   We offer a simpler alternative to traditional banks and FX brokers enabling companies to hold, move, and manage money across currencies through one clear, integrated platform",UK FX platform for growing/SMB businesses with 10-minute self-serve account opening and no revenue exclusion.,eval_home20dbg,2026-09-05T08:06:02.31929+05:30,,,,,,,
altify.app,Altify,Altify,accept,United Kingdom,London,20,4000000,149000,2023,,"Altify is a regulated investment platform that makes investing in tokenised real-world assets (RWAs) as simple as buying shares. Founded in 2023 and headquartered in the UK, Altify operates with regulatory licences across EMEA. The fintech combines a design-led user experience and low investing mini",UK-based consumer investing app with self-serve signup and revenue in band; not a vendor or agency.,eval_or20;eval_proof-ondato;eval_strict20,2026-09-05T07:12:05.68315+05:30,Sean Sanders,Founder & CEO,https://linkedin.com/in/sean-sanders-382992108,accept,"London, United Kingdom",verified,eval_proof-ondato
ammunitiondepot.com,Ammunition Depot,,accept,United States,Boca Raton,16,18575159,,2011,,"Ammunition Depot is an American ammunition retailer founded on the belief that self-defense is both a right and a responsibility. Headquartered in Florida, the company is driven by a mission to provide the public with access to premium ammunition at competitive prices, backed by exceptional customer",US ammunition e-commerce retailer with age-gated self-serve sales and revenue within qualifying band.,eval_base20b,2026-09-05T06:37:09.148885+05:30,,,,,,,
anna.money,ANNA Money,,accept,United Kingdom,London,138,5889587,,2017,,"ANNA AI-powered (but very human) all-in-one business account for money, invoicing, expenses, bookkeeping and taxes, currently available in the UK and Australia. Come for the miaow, stay for the award-winning 24/7 UK-based customer service.  What ANNA delivers: • Small business banking: Get a busines",UK SMB self-serve business account with revenue $5.89M fits band; not an excluded vendor type.,eval_angles20,2026-09-05T07:39:24.347143+05:30,,,,,,,
baanx.com,Baanx Group Ltd,,reject:excluded-type,United Kingdom,London,27,6500000,36370413,2018,,"We are a B2B2C Service provider for Digital Asset friendly Financial Services - debit cards (physical + virtual), digital wallets, IBANs/DDA Accounts, Borrowing/Lending, remittance/FX, payment gateways and more.  CL (Crypto Life) also launches white label, fully managed applications to user communit","UK-based crypto/fintech provider with $36M funding, consumer-facing white-label wallet/card products, not a verification vendor.",eval_strict20,2026-09-05T06:50:59.907063+05:30,,,,,,,
